"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2018","10,451.50","10,436.40","10,482.70","10,422.10","190.19M","0.22%"
"Jan 30, 2018","10,428.20","10,481.90","10,506.40","10,416.20","180.47M","-1.21%"
"Jan 29, 2018","10,555.60","10,605.50","10,605.70","10,540.00","150.49M","-0.38%"
"Jan 26, 2018","10,595.40","10,598.60","10,635.10","10,563.20","139.54M","0.00%"
"Jan 25, 2018","10,595.30","10,564.60","10,630.50","10,559.70","183.93M","0.31%"
"Jan 24, 2018","10,563.00","10,595.30","10,617.20","10,563.00","129.49M","-0.44%"
"Jan 23, 2018","10,609.50","10,640.30","10,643.40","10,583.70","168.20M","0.24%"
"Jan 22, 2018","10,584.00","10,503.60","10,601.90","10,488.30","179.08M","1.00%"
"Jan 19, 2018","10,479.50","10,417.50","10,500.10","10,396.20","143.56M","0.45%"
"Jan 18, 2018","10,432.70","10,500.10","10,509.20","10,403.20","123.09M","-0.40%"
"Jan 17, 2018","10,474.60","10,475.60","10,504.90","10,441.20","144.36M","-0.44%"
"Jan 16, 2018","10,520.40","10,479.00","10,572.90","10,466.20","160.06M","0.51%"
"Jan 15, 2018","10,467.20","10,471.60","10,493.70","10,446.90","112.26M","0.05%"
"Jan 12, 2018","10,462.40","10,463.70","10,492.20","10,443.40","154.55M","0.26%"
"Jan 11, 2018","10,435.20","10,435.90","10,475.00","10,401.20","208.92M","0.07%"
"Jan 10, 2018","10,428.30","10,423.20","10,474.90","10,399.10","210.84M","0.02%"
"Jan 09, 2018","10,426.50","10,400.90","10,461.90","10,385.60","132.57M","0.27%"
"Jan 08, 2018","10,398.40","10,439.80","10,456.90","10,398.40","135.17M","-0.12%"
"Jan 05, 2018","10,411.40","10,343.10","10,411.40","10,343.10","145.84M","0.94%"
"Jan 04, 2018","10,314.40","10,154.60","10,325.00","10,151.00","189.79M","1.96%"
"Jan 03, 2018","10,116.00","10,101.40","10,145.20","10,083.60","137.80M","0.37%"
"Jan 02, 2018","10,079.10","10,089.60","10,097.90","10,017.00","146.99M","0.35%"
"Dec 29, 2017","10,043.90","10,091.30","10,100.20","10,028.70","118.04M","-0.49%"
"Dec 28, 2017","10,093.10","10,150.30","10,162.80","10,076.50","97.24M","-0.71%"
